index_code,index_date,revision,status,value,provider_count,observation_count,dispersion,withheld_reason,methodology_version,published_at,superseded_at,revision_reason,snapshot
TIX-GLM53-OUT,2026-09-12,1,published,0.5,27,27,0.34000000000000025,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-12.json; not published on the day,2026-09-12.json
TIX-GLM53-IN,2026-09-12,1,published,0.1496,27,27,0.36000000000000015,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-12.json; not published on the day,2026-09-12.json
TIX-K3-OUT,2026-09-12,1,published,14.4656,16,19,0.175,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-12.json; not published on the day,2026-09-12.json
TIX-DSV41-OUT,2026-09-12,1,published,1.055,12,12,0.495,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-12.json; not published on the day,2026-09-12.json
TIX-MM3-OUT,2026-09-12,1,withheld,,12,12,0.9200000000000003,dispersion: 0.920 against ceiling 0.6,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-12.json; not published on the day,2026-09-12.json
TIX-FRONTIER-OUT,2026-09-12,1,withheld,,2,5,,"indexable_good: proprietary model: one seller per model, so cross-seller price discovery does not exist; min_providers: 2 of 3 required; dispersion: not computable below three providers",0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-12.json; not published on the day,2026-09-12.json
TIX-GLM53-OUT,2026-09-14,1,published,0.4978,27,27,0.34000000000000025,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-14.json; not published on the day,2026-09-14.json
TIX-GLM53-IN,2026-09-14,1,published,0.1489,27,27,0.36000000000000015,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-14.json; not published on the day,2026-09-14.json
TIX-K3-OUT,2026-09-14,1,published,14.336,17,20,0.17,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-14.json; not published on the day,2026-09-14.json
TIX-DSV41-OUT,2026-09-14,1,published,1.1909,11,11,0.03333333333333337,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-14.json; not published on the day,2026-09-14.json
TIX-MM3-OUT,2026-09-14,1,withheld,,13,13,1.0,dispersion: 1.000 against ceiling 0.6,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-14.json; not published on the day,2026-09-14.json
TIX-FRONTIER-OUT,2026-09-14,1,withheld,,2,5,,"indexable_good: proprietary model: one seller per model, so cross-seller price discovery does not exist; min_providers: 2 of 3 required; dispersion: not computable below three providers",0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-14.json; not published on the day,2026-09-14.json
TIX-GLM53-OUT,2026-09-15,1,published,0.4978,27,27,0.34000000000000025,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-15.json; not published on the day,2026-09-15.json
TIX-GLM53-IN,2026-09-15,1,published,0.1489,27,27,0.36000000000000015,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-15.json; not published on the day,2026-09-15.json
TIX-K3-OUT,2026-09-15,1,published,14.3607,17,20,0.17,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-15.json; not published on the day,2026-09-15.json
TIX-DSV41-OUT,2026-09-15,1,published,1.1078,18,18,0.46499999999999997,,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-15.json; not published on the day,2026-09-15.json
TIX-MM3-OUT,2026-09-15,1,withheld,,13,13,1.0,dispersion: 1.000 against ceiling 0.6,0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-15.json; not published on the day,2026-09-15.json
TIX-FRONTIER-OUT,2026-09-15,1,withheld,,2,5,,"indexable_good: proprietary model: one seller per model, so cross-seller price discovery does not exist; min_providers: 2 of 3 required; dispersion: not computable below three providers",0.1.0,2026-09-15T04:28:14Z,,backfilled by rebuild from 2026-09-15.json; not published on the day,2026-09-15.json
